room,startDate,endDate,guest,totalPrice,status,customer_email,specialRequests
Deluxe Suite,2025-02-27,2025-03-09,2,612.28,confirmed,user_9907@example.com,None
Presidential Suite,2025-04-11,2025-04-22,2,1092.7,confirmed,user_4@example.com,None
Executive King,2025-12-16,2025-12-20,1,901.94,confirmed,user_6966@example.com,None
Deluxe Suite,2025-04-16,2025-04-28,2,500.73,confirmed,user_5177@example.com,None
Deluxe Suite,2025-11-14,2025-11-19,2,727.87,confirmed,user_7560@example.com,None
Deluxe Suite,2025-01-01,2025-01-11,2,552.1,confirmed,user_3672@example.com,None
Deluxe Suite,2025-07-11,2025-07-24,1,569.31,confirmed,user_7004@example.com,None
Executive King,2025-03-27,2025-03-30,2,764.39,confirmed,user_6617@example.com,None
Presidential Suite,2025-09-11,2025-09-12,4,1480.8,confirmed,user_5881@example.com,None
Deluxe Suite,2025-06-29,2025-07-01,2,608.78,confirmed,user_9207@example.com,None
Presidential Suite,2025-06-09,2025-06-10,2,1552.2,canceled,user_1687@example.com,None
Presidential Suite,2025-06-28,2025-06-29,4,1370.55,confirmed,user_3913@example.com,None
Deluxe Suite,2025-04-05,2025-04-17,1,667.03,confirmed,user_8945@example.com,None
Deluxe Suite,2025-04-03,2025-04-11,2,506.66,confirmed,user_7668@example.com,None
Presidential Suite,2025-08-05,2025-08-13,1,1146.68,confirmed,user_8867@example.com,None
Deluxe Suite,2025-06-26,2025-06-29,2,544.84,confirmed,user_2143@example.com,None
Executive King,2025-09-25,2025-09-30,2,717.84,confirmed,user_5644@example.com,Early check-in
Presidential Suite,2025-03-03,2025-03-04,1,968.25,confirmed,user_7186@example.com,None
Deluxe Suite,2025-03-17,2025-03-20,1,473.59,confirmed,user_717@example.com,None
Presidential Suite,2025-03-10,2025-03-15,2,1380.74,confirmed,user_7651@example.com,Late checkout
Deluxe Suite,2025-06-30,2025-07-13,1,420.5,confirmed,user_6541@example.com,None
Deluxe Suite,2025-08-09,2025-08-16,1,692.08,confirmed,user_1542@example.com,None
Executive King,2025-10-10,2025-10-12,1,1003.68,confirmed,user_1540@example.com,None
Executive King,2025-12-31,2026-01-08,1,692.23,confirmed,user_6588@example.com,None
Presidential Suite,2025-12-12,2025-12-22,3,1167.98,confirmed,user_4268@example.com,None
Executive King,2025-11-13,2025-11-17,2,926.03,confirmed,user_504@example.com,None
Deluxe Suite,2025-04-27,2025-05-05,1,770.0,canceled,user_3627@example.com,Late checkout
Deluxe Suite,2025-03-21,2025-03-26,1,671.04,confirmed,user_6190@example.com,None
Executive King,2025-02-23,2025-02-24,1,808.15,confirmed,user_2703@example.com,Early check-in
Presidential Suite,2025-08-12,2025-08-22,4,1068.67,confirmed,user_4468@example.com,None
Executive King,2025-11-12,2025-11-22,2,764.77,confirmed,user_4964@example.com,Late checkout
Presidential Suite,2025-07-20,2025-07-21,2,1285.7,confirmed,user_924@example.com,None
Presidential Suite,2025-03-23,2025-03-29,1,1345.58,confirmed,user_4804@example.com,None
Executive King,2025-10-13,2025-10-21,2,976.92,canceled,user_8415@example.com,Late checkout
Presidential Suite,2025-03-04,2025-03-14,1,1129.62,confirmed,user_6970@example.com,Early check-in
Deluxe Suite,2025-04-15,2025-04-17,1,583.71,confirmed,user_2000@example.com,None
Deluxe Suite,2025-01-23,2025-01-26,2,591.68,confirmed,user_4809@example.com,Early check-in
Deluxe Suite,2025-01-01,2025-01-10,1,394.71,canceled,user_4976@example.com,Early check-in
Executive King,2025-02-08,2025-02-16,2,880.32,confirmed,user_8865@example.com,None
Presidential Suite,2025-09-25,2025-09-27,3,1262.06,confirmed,user_2814@example.com,None
Presidential Suite,2025-03-07,2025-03-12,1,1401.31,confirmed,user_6881@example.com,None
Executive King,2025-11-04,2025-11-15,2,929.91,confirmed,user_4637@example.com,None
Presidential Suite,2025-10-12,2025-10-17,1,1184.46,confirmed,user_6327@example.com,Early check-in
Deluxe Suite,2025-03-10,2025-03-14,2,289.88,canceled,user_3818@example.com,None
Presidential Suite,2025-05-31,2025-06-09,3,1186.63,confirmed,user_6238@example.com,None
Deluxe Suite,2025-06-04,2025-06-07,1,533.0,confirmed,user_7570@example.com,Early check-in
Executive King,2025-11-13,2025-11-23,2,728.65,confirmed,user_6981@example.com,None
Deluxe Suite,2025-02-15,2025-02-25,2,894.71,confirmed,user_7240@example.com,None
Presidential Suite,2025-08-27,2025-09-02,1,1205.29,confirmed,user_2878@example.com,None
Deluxe Suite,2025-09-14,2025-09-18,2,626.72,confirmed,user_302@example.com,None
Executive King,2025-01-28,2025-02-07,2,805.35,confirmed,user_364@example.com,None
Presidential Suite,2025-01-07,2025-01-10,4,1270.77,confirmed,user_1531@example.com,None
Executive King,2025-01-15,2025-01-18,2,897.66,confirmed,user_5750@example.com,None
Executive King,2025-09-30,2025-10-09,1,684.02,confirmed,user_6288@example.com,None
Deluxe Suite,2025-03-08,2025-03-18,2,547.38,confirmed,user_9361@example.com,None
Presidential Suite,2025-04-21,2025-04-23,2,1044.41,confirmed,user_2472@example.com,None
Executive King,2025-11-11,2025-11-13,2,771.45,canceled,user_3812@example.com,Late checkout
Deluxe Suite,2025-07-17,2025-07-22,2,778.32,confirmed,user_3517@example.com,None
Presidential Suite,2025-05-17,2025-05-24,4,1193.8,confirmed,user_8434@example.com,None
Deluxe Suite,2025-08-11,2025-08-19,2,719.62,canceled,user_5966@example.com,Early check-in
Deluxe Suite,2025-03-03,2025-03-11,2,621.78,canceled,user_846@example.com,None
Executive King,2025-10-27,2025-11-09,1,896.09,confirmed,user_6283@example.com,None
Executive King,2025-10-20,2025-10-26,2,677.78,confirmed,user_6988@example.com,None
Deluxe Suite,2025-01-10,2025-01-12,2,389.97,confirmed,user_5287@example.com,Early check-in
Deluxe Suite,2025-11-25,2025-11-30,1,634.45,confirmed,user_1994@example.com,None
Executive King,2025-04-04,2025-04-07,1,867.73,confirmed,user_1908@example.com,Early check-in
Deluxe Suite,2025-02-04,2025-02-16,2,696.57,canceled,user_3391@example.com,None
Deluxe Suite,2025-12-27,2026-01-07,2,677.42,confirmed,user_2898@example.com,None
Executive King,2025-03-30,2025-04-03,2,871.32,canceled,user_2136@example.com,None
Presidential Suite,2025-05-05,2025-05-08,4,1202.76,confirmed,user_2712@example.com,None
Presidential Suite,2025-11-05,2025-11-07,3,1451.47,canceled,user_4018@example.com,None
Executive King,2025-06-28,2025-07-01,2,850.77,confirmed,user_5788@example.com,None
Executive King,2025-06-06,2025-06-17,1,737.71,confirmed,user_1120@example.com,Early check-in
Presidential Suite,2025-09-11,2025-09-12,3,1192.24,confirmed,user_1865@example.com,None
Executive King,2025-12-31,2026-01-04,1,1076.14,confirmed,user_7863@example.com,None
Deluxe Suite,2025-11-28,2025-12-02,1,604.09,confirmed,user_793@example.com,None
Deluxe Suite,2025-09-11,2025-09-22,2,579.73,canceled,user_6166@example.com,None
Executive King,2025-08-06,2025-08-18,1,1166.86,confirmed,user_7790@example.com,Early check-in
Presidential Suite,2025-12-22,2026-01-03,4,1219.38,canceled,user_3876@example.com,Early check-in
Executive King,2025-10-14,2025-10-26,1,1038.98,confirmed,user_3368@example.com,Late checkout
Presidential Suite,2025-12-12,2025-12-17,1,1123.32,confirmed,user_9397@example.com,Early check-in
Deluxe Suite,2025-02-24,2025-03-02,1,362.49,confirmed,user_9524@example.com,None
Deluxe Suite,2025-10-18,2025-10-28,1,812.32,confirmed,user_536@example.com,Early check-in
Executive King,2025-07-29,2025-08-05,2,824.2,confirmed,user_9146@example.com,None
Presidential Suite,2025-01-25,2025-02-02,2,1316.32,confirmed,user_3572@example.com,Late checkout
Deluxe Suite,2025-05-30,2025-06-10,1,611.76,confirmed,user_4944@example.com,Late checkout
Deluxe Suite,2025-12-08,2025-12-14,2,377.29,confirmed,user_9916@example.com,None
Presidential Suite,2025-08-03,2025-08-16,1,1114.93,confirmed,user_2717@example.com,None
Deluxe Suite,2025-01-19,2025-01-27,1,769.33,confirmed,user_5490@example.com,None
Executive King,2025-04-23,2025-05-05,2,623.37,confirmed,user_6016@example.com,None
Presidential Suite,2025-10-15,2025-10-18,3,1230.56,confirmed,user_6305@example.com,None
Presidential Suite,2025-10-15,2025-10-27,3,1186.62,confirmed,user_5954@example.com,None
Presidential Suite,2025-11-24,2025-12-07,3,1204.5,confirmed,user_3310@example.com,None
Presidential Suite,2025-09-21,2025-10-03,1,1322.08,confirmed,user_2538@example.com,Late checkout
Deluxe Suite,2025-08-11,2025-08-16,2,458.94,confirmed,user_6150@example.com,None
Deluxe Suite,2025-05-27,2025-06-01,1,649.55,confirmed,user_4177@example.com,Early check-in
Presidential Suite,2025-01-11,2025-01-15,1,1330.5,confirmed,user_1409@example.com,None
Presidential Suite,2025-09-18,2025-09-22,4,1105.9,confirmed,user_7083@example.com,None
Executive King,2025-10-07,2025-10-19,2,987.75,confirmed,user_2679@example.com,Late checkout
Presidential Suite,2025-04-25,2025-04-26,4,1330.46,confirmed,user_1304@example.com,None
Executive King,2025-01-04,2025-01-15,2,958.57,confirmed,user_8996@example.com,None
Executive King,2025-02-11,2025-02-16,2,861.24,confirmed,user_7141@example.com,Early check-in
Presidential Suite,2025-12-08,2025-12-18,1,944.61,confirmed,user_7992@example.com,None
Presidential Suite,2025-09-25,2025-09-27,4,1614.11,confirmed,user_2969@example.com,None
Executive King,2025-11-06,2025-11-08,2,767.65,confirmed,user_2866@example.com,None
Presidential Suite,2025-05-29,2025-06-11,2,1323.66,confirmed,user_8378@example.com,None
Presidential Suite,2025-02-24,2025-02-26,2,1181.31,confirmed,user_4853@example.com,None
Deluxe Suite,2025-08-27,2025-08-31,2,513.65,confirmed,user_7101@example.com,Late checkout
Presidential Suite,2025-06-03,2025-06-12,2,1218.3,confirmed,user_2120@example.com,None
Deluxe Suite,2025-03-02,2025-03-11,1,366.31,confirmed,user_1252@example.com,None
Presidential Suite,2025-12-20,2025-12-26,2,1139.94,confirmed,user_9828@example.com,None
Presidential Suite,2025-01-17,2025-01-30,1,1002.1,canceled,user_1341@example.com,Late checkout
Presidential Suite,2025-03-22,2025-03-27,4,1166.06,confirmed,user_2421@example.com,None
Deluxe Suite,2025-09-25,2025-10-04,2,722.77,confirmed,user_4430@example.com,None
Deluxe Suite,2025-11-11,2025-11-19,1,620.08,canceled,user_6737@example.com,Early check-in
Presidential Suite,2025-04-13,2025-04-15,3,989.23,confirmed,user_7980@example.com,None
Deluxe Suite,2025-07-02,2025-07-10,1,675.16,confirmed,user_8230@example.com,None
Deluxe Suite,2025-07-29,2025-08-11,2,751.52,confirmed,user_8502@example.com,None
Executive King,2025-09-04,2025-09-15,2,770.56,confirmed,user_3810@example.com,None
Executive King,2025-11-14,2025-11-27,2,937.97,confirmed,user_9454@example.com,None
Executive King,2025-12-06,2025-12-13,1,847.08,confirmed,user_3760@example.com,None
Executive King,2025-11-20,2025-11-22,2,561.3,confirmed,user_8173@example.com,None
Presidential Suite,2025-12-10,2025-12-19,1,1295.49,confirmed,user_1828@example.com,Early check-in
Presidential Suite,2025-10-22,2025-10-28,4,1192.58,canceled,user_1868@example.com,Late checkout
Presidential Suite,2025-02-28,2025-03-04,4,1301.22,confirmed,user_5429@example.com,None
Deluxe Suite,2025-04-17,2025-04-27,2,506.53,confirmed,user_6402@example.com,Early check-in
Deluxe Suite,2025-02-16,2025-02-22,1,516.68,confirmed,user_1913@example.com,None
Presidential Suite,2025-06-27,2025-06-30,2,1535.35,confirmed,user_892@example.com,None
Deluxe Suite,2025-04-08,2025-04-13,2,500.11,confirmed,user_7490@example.com,None
Deluxe Suite,2025-08-14,2025-08-17,1,681.52,canceled,user_9610@example.com,None
Presidential Suite,2025-09-08,2025-09-16,2,1362.54,confirmed,user_9105@example.com,None
Deluxe Suite,2025-03-22,2025-03-27,2,606.49,confirmed,user_2162@example.com,Early check-in
Executive King,2025-08-25,2025-09-05,2,954.57,confirmed,user_4311@example.com,Early check-in
Deluxe Suite,2025-10-31,2025-11-11,1,675.36,confirmed,user_4286@example.com,None
Presidential Suite,2025-02-14,2025-02-25,1,1328.62,canceled,user_5150@example.com,Early check-in
Executive King,2025-06-07,2025-06-18,2,678.38,canceled,user_5343@example.com,None
Presidential Suite,2025-01-17,2025-01-26,1,1329.34,confirmed,user_7009@example.com,None
Deluxe Suite,2025-03-15,2025-03-21,1,547.33,confirmed,user_2382@example.com,Late checkout
Deluxe Suite,2025-12-18,2025-12-22,2,766.11,confirmed,user_7491@example.com,None
Deluxe Suite,2025-07-12,2025-07-18,2,903.06,confirmed,user_5043@example.com,Early check-in
Presidential Suite,2025-02-02,2025-02-13,1,1089.02,confirmed,user_9645@example.com,None
Deluxe Suite,2025-02-08,2025-02-21,1,518.61,confirmed,user_1823@example.com,None
Executive King,2025-01-27,2025-02-02,2,931.57,canceled,user_988@example.com,Late checkout
Deluxe Suite,2025-09-19,2025-09-23,1,322.98,confirmed,user_933@example.com,None
Deluxe Suite,2025-10-08,2025-10-09,1,515.0,confirmed,user_5390@example.com,None
Presidential Suite,2025-05-25,2025-06-06,4,1176.2,confirmed,user_3633@example.com,Early check-in
Presidential Suite,2025-06-30,2025-07-12,1,1022.0,canceled,user_4473@example.com,None
Executive King,2025-08-10,2025-08-19,1,856.25,confirmed,user_1763@example.com,None
Deluxe Suite,2025-04-27,2025-05-03,2,486.39,confirmed,user_583@example.com,None
Deluxe Suite,2025-10-04,2025-10-12,1,532.15,confirmed,user_8357@example.com,None
Deluxe Suite,2025-04-12,2025-04-13,1,236.42,canceled,user_778@example.com,None
Deluxe Suite,2025-02-15,2025-02-27,1,960.3,confirmed,user_2720@example.com,None
Executive King,2025-01-02,2025-01-03,2,796.61,confirmed,user_1949@example.com,None
Executive King,2025-07-13,2025-07-20,2,894.82,canceled,user_3041@example.com,None
Deluxe Suite,2025-11-13,2025-11-24,2,453.19,confirmed,user_1925@example.com,None
Deluxe Suite,2025-07-23,2025-08-01,1,734.28,canceled,user_8442@example.com,None
Presidential Suite,2025-11-10,2025-11-14,4,1295.28,confirmed,user_894@example.com,None
Deluxe Suite,2025-01-14,2025-01-24,2,445.26,confirmed,user_2356@example.com,None
Presidential Suite,2025-07-30,2025-08-01,4,1120.61,confirmed,user_8503@example.com,Late checkout
Presidential Suite,2025-08-31,2025-09-10,4,1161.39,confirmed,user_7005@example.com,Late checkout
Executive King,2025-10-20,2025-10-28,1,549.71,confirmed,user_9579@example.com,Early check-in
Executive King,2025-04-06,2025-04-09,1,787.57,confirmed,user_9633@example.com,Early check-in
Presidential Suite,2025-07-05,2025-07-08,2,1144.03,canceled,user_3714@example.com,None
Deluxe Suite,2025-12-21,2025-12-22,1,848.55,confirmed,user_9131@example.com,None
Executive King,2025-11-21,2025-11-26,1,568.94,confirmed,user_4648@example.com,None
Deluxe Suite,2025-08-19,2025-08-27,1,426.66,confirmed,user_8219@example.com,None
Deluxe Suite,2025-06-13,2025-06-14,1,647.88,canceled,user_3374@example.com,None
Executive King,2025-09-27,2025-10-03,1,1092.66,confirmed,user_3432@example.com,None
Presidential Suite,2025-11-09,2025-11-10,4,1111.5,confirmed,user_6099@example.com,None
Presidential Suite,2025-07-23,2025-07-28,1,1257.29,confirmed,user_2203@example.com,Early check-in
Executive King,2025-11-30,2025-12-11,2,864.51,confirmed,user_9508@example.com,Late checkout
Deluxe Suite,2025-02-04,2025-02-11,1,571.5,confirmed,user_9200@example.com,None
Executive King,2025-08-30,2025-09-04,2,867.26,canceled,user_125@example.com,Late checkout
Executive King,2025-02-08,2025-02-17,1,484.86,confirmed,user_7595@example.com,None
Presidential Suite,2025-11-04,2025-11-17,4,1640.66,confirmed,user_891@example.com,None
Executive King,2025-09-21,2025-09-22,1,920.78,confirmed,user_5238@example.com,Late checkout
Executive King,2025-05-25,2025-05-27,2,617.15,confirmed,user_302@example.com,None
Presidential Suite,2025-10-29,2025-11-07,4,1292.7,canceled,user_3124@example.com,None
Deluxe Suite,2025-07-11,2025-07-23,2,621.16,confirmed,user_5704@example.com,Early check-in
Deluxe Suite,2025-03-14,2025-03-27,2,509.35,confirmed,user_3173@example.com,None
Executive King,2025-03-23,2025-03-29,1,750.99,canceled,user_9042@example.com,Early check-in
Deluxe Suite,2025-03-30,2025-04-05,2,800.72,confirmed,user_2190@example.com,None
Deluxe Suite,2025-11-01,2025-11-02,1,837.96,confirmed,user_6059@example.com,None
Presidential Suite,2025-04-20,2025-04-28,3,1200.42,confirmed,user_6228@example.com,Early check-in
Executive King,2025-04-27,2025-05-09,2,1043.06,confirmed,user_4760@example.com,None
Executive King,2025-10-27,2025-11-01,2,953.37,confirmed,user_6570@example.com,None
Presidential Suite,2025-12-02,2025-12-09,3,872.14,confirmed,user_5243@example.com,Late checkout
Presidential Suite,2025-10-04,2025-10-08,3,1129.98,confirmed,user_963@example.com,None
Executive King,2025-08-27,2025-09-09,1,735.9,confirmed,user_7311@example.com,None
Executive King,2025-03-18,2025-03-20,2,779.86,confirmed,user_7052@example.com,None
Presidential Suite,2025-10-25,2025-10-26,4,1176.12,canceled,user_5203@example.com,None
Presidential Suite,2025-06-21,2025-06-22,2,1270.79,confirmed,user_7285@example.com,None
Deluxe Suite,2025-09-28,2025-10-07,2,620.88,confirmed,user_5752@example.com,Early check-in
Deluxe Suite,2025-10-20,2025-10-31,2,703.9,confirmed,user_3273@example.com,Early check-in
Presidential Suite,2025-08-30,2025-09-09,4,1268.63,confirmed,user_9776@example.com,Early check-in
Executive King,2025-05-29,2025-06-05,1,806.57,confirmed,user_987@example.com,None
Presidential Suite,2025-03-19,2025-03-28,2,1177.95,confirmed,user_8632@example.com,None
Executive King,2025-09-20,2025-09-23,2,584.66,confirmed,user_6602@example.com,Late checkout
Executive King,2025-08-06,2025-08-10,1,513.03,confirmed,user_9382@example.com,Early check-in
Deluxe Suite,2025-03-14,2025-03-18,1,502.61,confirmed,user_707@example.com,None
Executive King,2025-01-27,2025-02-01,2,616.41,confirmed,user_7397@example.com,None
Presidential Suite,2025-02-27,2025-03-11,2,1304.25,confirmed,user_9686@example.com,None
Executive King,2025-02-05,2025-02-15,2,1091.98,canceled,user_3374@example.com,None
Executive King,2025-02-24,2025-03-05,2,997.1,confirmed,user_7123@example.com,None
Executive King,2025-12-14,2025-12-21,1,617.82,canceled,user_9732@example.com,Early check-in
Deluxe Suite,2025-03-25,2025-03-30,1,628.81,confirmed,user_5280@example.com,None
Executive King,2025-05-22,2025-05-24,2,753.63,confirmed,user_5782@example.com,None
Executive King,2025-09-15,2025-09-20,1,524.57,canceled,user_5299@example.com,None
Executive King,2025-11-07,2025-11-09,2,876.2,confirmed,user_8597@example.com,None
Executive King,2025-09-01,2025-09-06,2,734.21,confirmed,user_7629@example.com,Early check-in
Presidential Suite,2025-06-12,2025-06-21,4,1374.95,confirmed,user_4225@example.com,None
Executive King,2025-09-13,2025-09-15,2,691.67,canceled,user_4259@example.com,None
Deluxe Suite,2025-08-26,2025-09-01,2,994.38,confirmed,user_2530@example.com,None
Deluxe Suite,2025-01-25,2025-01-30,1,636.28,confirmed,user_8734@example.com,None
Executive King,2025-06-09,2025-06-21,1,654.57,confirmed,user_4349@example.com,None
Presidential Suite,2025-01-05,2025-01-08,3,1096.7,confirmed,user_3850@example.com,Early check-in
Presidential Suite,2025-03-24,2025-04-02,4,1190.6,confirmed,user_5448@example.com,Early check-in
Executive King,2025-03-21,2025-03-28,1,1028.18,confirmed,user_5671@example.com,Early check-in
Presidential Suite,2025-08-09,2025-08-13,4,1402.24,confirmed,user_4517@example.com,None
Presidential Suite,2025-07-10,2025-07-14,1,1123.93,confirmed,user_1549@example.com,None
Deluxe Suite,2025-07-02,2025-07-07,2,424.34,confirmed,user_7898@example.com,None
Executive King,2025-05-18,2025-05-23,1,868.63,confirmed,user_6356@example.com,Early check-in
Deluxe Suite,2025-12-04,2025-12-09,1,420.96,confirmed,user_671@example.com,None
Presidential Suite,2025-07-10,2025-07-22,1,1096.96,confirmed,user_5827@example.com,Early check-in
Executive King,2025-08-21,2025-08-24,2,731.27,confirmed,user_3493@example.com,None
Executive King,2025-04-15,2025-04-16,1,869.76,confirmed,user_571@example.com,None
Deluxe Suite,2025-11-10,2025-11-12,2,625.0,confirmed,user_2279@example.com,None
Presidential Suite,2025-09-21,2025-09-23,3,1395.26,canceled,user_7099@example.com,None
Deluxe Suite,2025-03-28,2025-04-02,1,834.23,confirmed,user_4940@example.com,None
Presidential Suite,2025-04-19,2025-04-20,3,834.91,confirmed,user_365@example.com,Late checkout
Presidential Suite,2025-01-28,2025-02-04,3,1227.87,confirmed,user_8964@example.com,None
Executive King,2025-12-03,2025-12-15,2,891.07,confirmed,user_3009@example.com,None
Presidential Suite,2025-11-20,2025-11-24,1,1396.67,confirmed,user_8569@example.com,None
Presidential Suite,2025-05-29,2025-06-08,2,1048.41,confirmed,user_780@example.com,None
Presidential Suite,2025-08-14,2025-08-26,4,1189.92,confirmed,user_9127@example.com,None
Deluxe Suite,2025-11-11,2025-11-19,1,432.83,confirmed,user_2461@example.com,Late checkout
Presidential Suite,2025-05-02,2025-05-03,2,1144.65,confirmed,user_38@example.com,Early check-in
Deluxe Suite,2025-05-29,2025-05-31,1,782.06,confirmed,user_7527@example.com,None
Presidential Suite,2025-09-13,2025-09-24,4,1178.99,confirmed,user_4330@example.com,None
Deluxe Suite,2025-09-15,2025-09-17,1,721.9,confirmed,user_9678@example.com,None
Deluxe Suite,2025-07-08,2025-07-19,2,686.69,confirmed,user_8706@example.com,None
Presidential Suite,2025-01-30,2025-02-12,3,1393.46,canceled,user_6279@example.com,None
Deluxe Suite,2025-01-03,2025-01-08,2,700.98,canceled,user_5343@example.com,Early check-in
Executive King,2025-01-10,2025-01-19,1,864.97,confirmed,user_2159@example.com,Early check-in
Executive King,2025-11-10,2025-11-20,2,978.06,confirmed,user_1037@example.com,Early check-in
Deluxe Suite,2025-03-16,2025-03-20,1,584.09,confirmed,user_7378@example.com,Late checkout
Presidential Suite,2025-01-20,2025-01-24,1,1383.3,confirmed,user_1013@example.com,None
Deluxe Suite,2025-11-06,2025-11-11,2,774.98,confirmed,user_2563@example.com,None
Presidential Suite,2025-12-02,2025-12-07,4,1114.05,confirmed,user_6643@example.com,None
Executive King,2025-06-07,2025-06-09,2,916.75,confirmed,user_3390@example.com,None
Executive King,2025-03-17,2025-03-30,2,717.32,confirmed,user_5093@example.com,None
Presidential Suite,2025-08-16,2025-08-29,4,1068.35,confirmed,user_830@example.com,None
Presidential Suite,2025-10-30,2025-11-10,4,1317.37,canceled,user_1019@example.com,None
Deluxe Suite,2025-09-17,2025-09-23,1,681.77,confirmed,user_2125@example.com,Early check-in
Presidential Suite,2025-11-21,2025-12-01,1,1058.49,confirmed,user_8329@example.com,None
Deluxe Suite,2025-12-16,2025-12-17,1,621.13,confirmed,user_1900@example.com,Early check-in
Presidential Suite,2025-10-29,2025-11-01,2,934.73,confirmed,user_7999@example.com,None
Deluxe Suite,2025-07-11,2025-07-21,1,595.87,confirmed,user_2839@example.com,Early check-in
Executive King,2025-06-23,2025-06-29,1,1065.84,confirmed,user_4283@example.com,None
Deluxe Suite,2025-12-30,2026-01-04,2,732.95,confirmed,user_905@example.com,None
Executive King,2025-08-05,2025-08-15,1,696.1,confirmed,user_5675@example.com,None
Presidential Suite,2025-09-07,2025-09-09,4,1002.94,confirmed,user_9614@example.com,None
Presidential Suite,2025-05-23,2025-05-31,4,1035.7,canceled,user_1449@example.com,Early check-in
Executive King,2025-11-10,2025-11-15,1,866.9,canceled,user_8100@example.com,None
Presidential Suite,2025-12-07,2025-12-16,3,1094.51,confirmed,user_6588@example.com,None
Executive King,2025-11-23,2025-11-27,1,856.17,confirmed,user_572@example.com,Early check-in
Executive King,2025-03-27,2025-04-05,1,805.27,confirmed,user_1633@example.com,None
Executive King,2025-11-26,2025-11-27,2,732.74,confirmed,user_3750@example.com,None
Presidential Suite,2025-02-28,2025-03-06,4,1501.5,confirmed,user_1727@example.com,Early check-in
